C4d_2015-test
aeg, juhtivus
 0, 120805
 1, 120748
 2, 120801
 3, 120736
 4, 120768
 5, 120759
 6, 120789
 7, 120745
 8, 120785
 9, 120717
 10, 120771
 11, 120707
 12, 120764
 13, 120741
 14, 120774
 15, 120708
 16, 120745
 17, 120721
 18, 120751
 19, 120704
 20, 120739
 21, 120696
 22, 120727
 23, 120713
 24, 120735
 25, 120703
 26, 120731
 27, 120721
 28, 120712
 29, 120708
 30, 120711
 31, 120684
 32, 120730
 33, 120672
 34, 120696
 35, 120689
 36, 120681
 37, 120683
 38, 120717
 39, 120664
 40, 120729
 41, 120672
 42, 120686
 43, 120670
 44, 120666
 45, 120633
 46, 120650
 47, 120684
 48, 120652
 49, 120672
 50, 120633
 51, 120670
 52, 120661
 53, 120630
 54, 120630
 55, 120707
 56, 120642
 57, 120642
 58, 120600
 59, 120645
 60, 120635
 61, 120631
 62, 120576
 63, 120664
 64, 120576
 65, 120639
 66, 120581
 67, 120648
 68, 120597
 69, 120636
 70, 120596
 71, 120624
 72, 120599
 73, 120639
 74, 120607
 75, 120617
 76, 120572
 77, 120616
 78, 120553
 79, 120614
 80, 120592
 81, 120577
 82, 120544
 83, 120626
 84, 120585
 85, 120606
 86, 120579
 87, 120588
 88, 120574
 89, 120566
 90, 120593
 91, 120579
 92, 120538
 93, 120556
 94, 120583
 95, 120539
 96, 120532
 97, 120517
 98, 120547
 99, 120508
 100, 120552
 101, 120543
 102, 120524
 103, 120536
 104, 120540
 105, 120506
 106, 120547
 107, 120506
 108, 120545
 109, 120508
 110, 120516
 111, 120477
 112, 120521
 113, 120521
 114, 120520
 115, 120484
 116, 120508
 117, 120516
 118, 120499
 119, 120489
 120, 120490
 121, 120445
 122, 120525
 123, 120440
 124, 120510
 125, 120447
 126, 120526
 127, 120451
 128, 120507
 129, 120466
 130, 120479
 131, 120484
 132, 120419
 133, 120453
 134, 120433
 135, 120428
 136, 120422
 137, 120471
 138, 120470
 139, 120463
 140, 120439
 141, 120462
 142, 120446
 143, 120449
 144, 120436
 145, 120452
 146, 120456
 147, 120432
 148, 120420
 149, 120411
 150, 120429
 151, 120428
 152, 120392
 153, 120420
 154, 120417
 155, 120417
 156, 120392
 157, 120408
 158, 120377
 159, 120417
 160, 120391
 161, 120415
 162, 120403
 163, 120382
 164, 120401
 165, 120405
 166, 120376
 167, 120394
 168, 120393
 169, 120421
 170, 120371
 171, 120395
 172, 120353
 173, 120355
 174, 120335
 175, 120352
 176, 120347
 177, 120376
 178, 120374
 179, 120365
 180, 120305
 181, 120359
 182, 120340
 183, 120338
 184, 120346
 185, 120335
 186, 120344
 187, 120299
 188, 120310
 189, 120315
 190, 120359
 191, 120284
 192, 120315
 193, 120304
 194, 120317
 195, 120269
 196, 120323
 197, 120309
 198, 120334
 199, 120309
 200, 120307
 201, 120277
 202, 120290
 203, 120327
 204, 120306
 205, 120303
 206, 120308
 207, 120297
 208, 120279
 209, 120286
 210, 120283
 211, 120261
 212, 120289
 213, 120293
 214, 120294
 215, 120267
 216, 120273
 217, 120270
 218, 120263
 219, 120262
 220, 120230
 221, 120288
 222, 120227
 223, 120268
 224, 120263
 225, 120251
 226, 120268
 227, 120242
 228, 120208
 229, 120257
 230, 120237
 231, 120235
 232, 120244
